	25_35	35_45	45_50	50_55	55_60	60_65	65_70	70_76
time	25_35	35_45	45_50	50_55	55_60	60_65	65_70	70_76
M286T257_POS_RPLC	24.7238550098903	25.3962706501578	25.3593185645454	25.1933475612538	25.2791606353175	25.5136248890945	25.1781329543766	25.7050788813053
M287T161_POS_RPLC	23.1742877614257	23.9341178561641	24.1896001782239	24.3562709743558	24.1782159842101	24.6677546432556	24.5283244802216	25.0649246148648
M291T496_POS_RPLC	26.1394993323701	27.0999759736576	26.7812912236661	26.6835615099366	26.8431488667673	26.7834073350038	26.8248731855527	27.1238593875424
M295T476_POS_RPLC	22.7219351858766	22.4080028245197	22.5488672586029	22.6207121342867	22.524234599731	22.5580636480115	22.4829244913629	22.2806730256137
M297T552_POS_RPLC	25.5480833862526	25.7775065871886	25.617696979424	25.6545636063846	25.7419048337159	25.7237493818193	25.6767081753878	25.9955001517691
M301T515_POS_RPLC	28.001905206766	28.1302932325782	27.9842388964834	27.978740418583	27.9777253865667	28.0113557537715	27.9991072891772	28.0396685776467
M302T343_POS_RPLC	21.4669381767348	21.7060701973538	21.3945305773378	21.1603023101079	21.2670128533935	21.5615105143742	21.2935821179578	21.9861937281891
M302T616_POS_RPLC	19.4917081281215	19.344686374801	18.7180305711282	19.8250174270888	19.009171557223	19.585942481824	18.6449766028656	17.514354887966
M302T510_POS_RPLC	22.0115470911986	22.0938502817484	22.009078137164	22.1787022388512	22.173442014527	22.1448430166607	22.197919643574	22.4323263366039
M304T635_POS_RPLC	20.3646348518632	19.8255336170451	19.8164792911197	20.3563921153536	20.4373348752095	20.7167540221673	19.9148155892889	18.8417023606137
M305T537_POS_RPLC	24.8887270229132	25.6493299419446	25.2146316803689	25.0279618982967	25.3776048990707	24.9989294862648	25.3319207618211	25.5637552577539
M305T227_POS_RPLC	21.6002735320233	22.3561818233081	22.2710737125992	21.6844313798927	21.8796475291425	22.2422267368248	21.9977760751477	23.5436211935934
M308T504_POS_RPLC	25.1277177042836	24.3316162573774	24.3743896814114	24.3734166765322	24.5247209064052	24.1615358723244	24.8915167144634	25.1631393648197
M309T571_POS_RPLC	26.2606710766615	26.6503170930403	26.7715582209609	26.6060737247617	26.3984863910725	26.655383975035	26.7235206703806	26.9070670099181
M310T307_POS_RPLC	23.537731342868	23.6335435853312	23.8590234161438	23.6370203604831	23.4688665970243	23.8547341590728	23.6534086909772	24.224347056867
M310T666_POS_RPLC	23.7746870829168	23.1066123179779	23.6910747936305	23.6576319436348	23.7786728785252	23.8779140450635	23.9257308227962	23.5747579372166
M311T618_POS_RPLC	21.7606293057925	21.7642045000617	21.5130401241073	21.7163781667246	21.4177232471207	21.8262215620981	21.8753292815833	21.9176890463702
M313T213_POS_RPLC	22.5823164160544	20.8474226761944	21.1116124655472	21.2284348304661	20.7198547566534	20.8819209533248	20.9030258492458	20.6442658955531
M313T631_POS_RPLC	27.0328100696831	26.9271694410063	26.7804348886838	27.028070802228	26.9344143095001	26.9810766766537	26.9925366633692	27.1147767490244
M314T364_POS_RPLC	24.9058519746746	25.122269129771	24.7740042663885	25.0862802711317	24.6871959375545	24.9685027277259	24.6372127598697	24.9419556532633
M315T562_POS_RPLC	25.1330577323828	25.258032090265	25.1395324706727	25.0880046688537	25.0981325068803	25.1519206695508	25.0971572469067	25.1709110403785
M316T397_POS_RPLC	25.8772542221424	26.4080721644706	25.7608360259436	26.3804747817958	25.9036115023852	26.1455433856533	25.9191642410042	26.0102898869528
M317T668_POS_RPLC	19.9374743678509	19.5745727543421	19.6445190977255	19.9515114211381	19.3005166563649	19.3749531633265	19.3777115734325	19.7612621623556
M318T488_POS_RPLC	29.4638038061813	29.5520777040061	29.5452524784602	29.6707247625759	29.6911869608789	29.6705070781303	29.6384060634865	29.9331025589631
M319T634_POS_RPLC	22.896425205185	23.1412139619091	23.1785981862046	23.0709792752186	22.9247587360856	23.1335375031151	22.9775891796618	22.4341129012039
M321T595_POS_RPLC	22.3613787264328	22.529632471211	22.497810227095	22.5379667699568	22.5329979527684	22.6633049981908	22.4204983979204	21.8651618628943
M325T569_POS_RPLC	24.2563381290561	24.3369573503207	24.2324253146782	24.2045920122867	24.1605931055614	24.3052321852415	24.1796812544357	24.099483612503
M327T367_POS_RPLC	23.9695159407482	24.0072136360816	23.9169815501024	23.8692854748066	23.8979638576757	23.8373487314124	23.8805170373504	23.8857445846247
M327T648_2_POS_RPLC	19.4847232773048	19.9316733156928	19.613848991337	19.6841823758852	19.5176192193198	20.0021146400545	19.7254322843467	19.5013286798987
M330T427_POS_RPLC	22.6014041848039	22.328295364041	22.2008194009591	22.4093732406895	22.0940886600617	22.4420191510208	22.3455931804431	23.1165225911238
