"","variable_id","ENTREZID"
"607","transcriptome_BHLHE41","79365"
"608","transcriptome_BID","637"
"609","transcriptome_BIK","638"
"610","transcriptome_BIN1","274"
"611","transcriptome_BIN2","51411"
"612","transcriptome_BIN3","55909"
"613","transcriptome_BIRC2","329"
"614","transcriptome_BIRC6","57448"
"615","transcriptome_BLOC1S6","26258"
"616","transcriptome_BMP2K","55589"
"617","transcriptome_BMP6","654"
"618","transcriptome_BMP8A","353500"
"619","transcriptome_BMP8B","656"
"620","transcriptome_BMPR2","659"
"621","transcriptome_BMS1","9790"
"622","transcriptome_BNC2","54796"
"623","transcriptome_BNIP2","663"
"624","transcriptome_BNIP3","664"
"625","transcriptome_BNIP3L","665"
"626","transcriptome_BNIPL","149428"
"627","transcriptome_BOC","91653"
"628","transcriptome_BOD1L1","259282"
"629","transcriptome_BOK","666"
"630","transcriptome_BOLL","66037"
"631","transcriptome_BPGM","669"
"632","transcriptome_BPTF","2186"
"633","transcriptome_BRAP","8315"
"634","transcriptome_BRAT1","221927"
"635","transcriptome_BRCC3","79184"
"636","transcriptome_BRD1","23774"
"637","transcriptome_BRD2","6046"
"638","transcriptome_BRD3","8019"
"639","transcriptome_BRD4","23476"
"640","transcriptome_BRD7","29117"
"641","transcriptome_BRD9","65980"
"642","transcriptome_BRF1","2972"
"643","transcriptome_BRI3","25798"
"644","transcriptome_BRICD5","283870"
"645","transcriptome_BRIX1","55299"
"646","transcriptome_BRK1","55845"
"647","transcriptome_BRMS1","25855"
"648","transcriptome_BROX","148362"
"649","transcriptome_BRPF1","7862"
"650","transcriptome_BRPF3","27154"
"651","transcriptome_BRSK2","9024"
"652","transcriptome_BRWD1","54014"
"653","transcriptome_BRWD3","254065"
"654","transcriptome_BSDC1","55108"
"655","transcriptome_BSG","682"
"656","transcriptome_BSN","8927"
"657","transcriptome_BSPRY","54836"
"658","transcriptome_BST2","684"
"659","transcriptome_BTAF1","9044"
"660","transcriptome_BTBD10","84280"
"661","transcriptome_BTBD11","121551"
